"gene","Neurons","Astrocytes","Microglia","Oligodendrocytes"
"Eno2",3.038,2.135,2.632,1.914
"Enpp2",2.634,4.766,2.4,2.093
"Ermn",9.435,3.703,2.902,3.166
"Fcrls",5.492,1.08,1.524,0.676
"Fgfr3",5.286,4.606,13,4.824
"Flna",7.466,3.89,2.995,2.814
"Gabra1",9.291,4.222,3.743,4.174
"Gabrb2",2.648,5.381,1.93,2.609
"Gad1",3.386,2.454,3.467,2.252
"Gad2",2.405,4.626,1.891,2.812
"Gapdh",7.386,0,3.868,4.088
"Gfap",4.694,3.42,3.555,8.252
"Gja1",2.738,2.133,3.543,1.56
"Gjb1",5.307,4.056,3.208,2.961
"Gjb6",0.887,1.584,1.437,6.062
"Glul",5.618,5.302,3.97,4.351
"Gpi1",1.385,0,0,0
"Gpr34",8.692,3.76,3.563,3.906
"Gpsm1",3.622,2.752,12.125,2.645
"Gria1",3.857,2.497,2.572,3.128
"Gria2",2.648,1.72,0.857,1.643
"Grin1",3.984,2.551,1.779,2.402
"Grin2a",3.945,5.581,2.992,3.481
"Grin2b",2.715,2.972,1.858,6.639
"Hexb",8.417,6.272,5.845,8.539
"Hist1h1d",4.289,2.866,2.58,3.382
"Hprt",3.457,1.862,2.03,5.041
"Hsp90aa1",4.684,4.542,12.752,4.279
"Hspa8",1.608,1.918,2.4,2.093
"Htra1",5.094,6.268,3.484,3.927
"Id3",4.017,3.616,13,3.418
"Idh3a",1.631,3.513,1.376,1.163
"Irf8",3.495,3.115,1.933,2.542
"Itgam",4.657,4.263,8.102,3.698
"Kcnq2",5.164,4.145,3.377,2.788
"Kcnq3",3.252,2.756,2.406,9.363
"Kif1a",8.573,2.318,1.909,2.5
"Kif5b",3.166,2.525,4.632,2.305
"Klk6",2.386,13,2.223,2.345
"Laptm5",4.983,4.437,9.636,3.588
"Ldha",11.184,0.359,0.816,0.407
"Ldhb",4.204,1.278,1.234,1.356
"Mag",2.848,3.159,1.587,2.134
"Mal",1.449,2.263,1.186,0.796
"Map1a",5.008,4.608,6.925,4.929
"Map1b",13,4.157,3.819,3.242
"Map2",5.354,4.999,4.741,13
"Mapt",4.303,3.084,2.261,3.309
"Mark1",3.762,3.645,2.151,10.771
"Mbp",3.75,4.135,2.927,2.85
"Mdh1",6.498,2.948,2.364,2.311
"Mlc1",13,2.346,1.683,2.919
"Mog",4.949,4.623,3.875,12.129
"Mt1",11.332,1.306,0.929,1.21
"Mt2",5.394,4.393,0,7.037
"Myh10",9.234,1.14,1.232,0.742
"Nadk2",4.362,3.781,3.933,3.232
"Ndufa4",3.265,2.44,1.494,1.371
"Nefh",6.568,6.552,4.511,5.148
"Nefl",3.019,2.963,2.525,3.28
"Nefm",3.106,0.172,0.352,1.034
"Nlgn1",12.972,2.647,1.657,1.956
"Nrgn",1.854,0.764,0.66,0
"Nrxn1",5.111,3.464,2.879,10.327
"Ntsr2",10.79,0,5.179,5.868
"Olfml3",10.834,4.308,4.298,3.713
"Olig1",4.642,2.593,2.098,2.847
"Olig2",3.132,2.162,0,4.021
"Opalin",11.126,0,1.088,1.061
"P2ry12",4.676,4.022,3.292,3.279
"Palld",0.641,0,0,0
"Pclo",4.69,7.194,3.042,0
"Pdia3",4.576,3.622,3.276,3.122
"Pgk1",5.452,4.245,2.992,3.146
"Pkm",7.227,2.095,1.419,0
"Plp1",4.012,3.762,2.899,3.371
"Ppia",0.763,5.953,1.02,0.174
"Psmb4",7.85,0,0,0
"Ptprc",4.475,3.71,3.556,3.701
"Rb1cc1",13,0,4.277,4.603
"Rbfox3",2.947,2.507,2.11,2.463
"Rims1",4.753,0,0.018,0.381
"Rims2",12.055,4.013,3.577,4.246
"Rpl13a",2.654,2.959,3.537,3.218
"Rps18",4.474,3.02,3.269,2.639
"S100b",3.122,3.246,2.426,2.878
"Sall1",2.814,1.562,0,1.201
"Scn2a",4.229,13,2.683,0
"Scn8a",3.564,7.08,2.599,3.402
"Sdha",5.563,3.166,2.162,2.728
"Selplg",2.871,2.231,2.298,3.196
"Shank2",0.947,0.918,0.334,0.76
"Shank3",0.637,4.935,0.222,0.276
"Siglech",3.994,1.089,1.53,0.591
"Sin3a",3.705,2.735,5.397,3.017
"Slc12a2",3.694,3.08,2.614,11.195
"Slc17a7",5.113,4.864,4.426,5.765
"Slc1a2",13,1.777,1.354,2.098
"Slc1a3",2.338,2.044,2.096,2.285
"Slc2a1",2.58,1.195,0.89,1.293
"Slc32a1",2.855,5.104,2.145,2.469
"Slc4a4",2.926,3.023,2.633,7.312
"Slc6a11",7.916,0.283,0,0
"Slc7a11",5.784,4.477,4.472,4.298
"Slc8a1",5.305,6.848,4.108,4.39
"Slc9a3r1",5.742,4.682,3.658,4.662
"Snap25",4.481,4.014,3.603,3.185
"Sox10",4.033,0,2.376,2.746
"Sox9",12.562,3.735,3.723,4.036
"Sparcl1",9.794,2.643,2.35,2.657
"Spi1",3.552,2.933,2.671,2.917
"Sptbn1",5.885,4.13,3.966,3.342
"Stmn2",4.251,3.262,4.328,4.114
"Stmn3",0,2.929,2.777,9.468
"Stx1a",2.469,10.037,1.97,1.718
"Stx1b",0,2.312,2.585,9.527
"Syn1",1.067,4.686,1.501,1.146
"Syn2",4.826,4.374,3.589,0
"Syn3",3.527,4.848,2.132,2.018
"Syt1",4.179,4.44,0,2.97
"Taldo1",3.132,2.282,2.639,12.298
"Tbp",3.319,2.837,2.59,4.887
"Tbr1",4.901,4.604,3.785,3.997
"Tjp2",2.499,2.279,1.913,5.935
"Tln1",4.386,2.916,3.734,3.125
"Tmem119",2.349,2.382,1.477,12.246
"Tpi1",0.69,1.177,8.966,1.072
"Trem2",4.057,3.645,2.711,3.047
"Trf",7.092,6.19,5.486,13
"Tubb3",11.527,2.349,1.897,1.917
"Tyrobp",3.892,0,3.13,3.934
"Ubc",13,0,4.582,5.183
"Ugt8a",1.674,1.65,5.861,1.595
"Vamp2",9.51,2.563,0,1.877
"Vcl",7.126,2.522,1.676,2.168
"Vcp",9.414,3.181,0,2.888
"Ywhag",6.595,5.919,5.319,4.509
"Ywhah",1.53,1.158,6.674,0.788
"Zdhhc5",5.359,0.9,1.357,0.79
